#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCchildhood.1;The adults are so busy, they’re forgetting to get me my food. I want food! I’m so hungry! Why won’t anybody give me food?;;;;;;;;;;;;;x
EVTOPTAchildhood.1;WAAAH! GIVE ME FOOD!;;;;;;;;;;;;;x
EVTOPTBchildhood.1;I’ll just wait. Someone will come.;;;;;;;;;;;;;x
EVTOPTCchildhood.1;I’ll get my own food.;;;;;;;;;;;;;x
EVTDESCchildhood.2;While playing around with the other children, you trip and scrape your knee. It’s a small, minor injury, but does it hurt!;;;;;;;;;;;;;x
EVTOPTAchildhood.2;BOOHOO!;;;;;;;;;;;;;x
EVTOPTBchildhood.2;I won’t cry.;;;;;;;;;;;;;x
EVTDESCchildhood.3;Lately, after hearing the adults talk about this and that and this and that, I’ve started to get really curious about the world around me, specifically when it comes to...;;;;;;;;;;;;;x
EVTOPTAchildhood.3;Music.;;;;;;;;;;;;;x
EVTOPTBchildhood.3;Battling dragons.;;;;;;;;;;;;;x
EVTOPTCchildhood.3;Where the stuff I buy comes from.;;;;;;;;;;;;;x
EVTOPTDchildhood.3;The heavens and afterlife.;;;;;;;;;;;;;x
EVTDESCchildhood.4;I’m at a feast, and there’s just so many people! I don’t think I’ve ever seen this many people before in my life, it’s overwhelming. Still, there’s so many different people around, doing so many things - I think I’m starting to learn how to properly act...;;;;;;;;;;;;;x
EVTOPTAchildhood.4;Friendly to others.;;;;;;;;;;;;;x
EVTOPTBchildhood.4;Sweet and nice to all.;;;;;;;;;;;;;x
EVTOPTCchildhood.4;Rude to fools.;;;;;;;;;;;;;x
EVTOPTDchildhood.4;Quiet to avoid confrontations.;;;;;;;;;;;;;x
EVTDESCchildhood.5;Today my friends and I got hold of some of the court musicians’ instruments, and we’re banging and bonging and making loud noises!;;;;;;;;;;;;;x
EVTOPTAchildhood.5;Rock on!;;;;;;;;;;;;;x
EVTDESCchildhood.6;Your ward, [From.GetFirstName], was caught playing around with the court musicians’ instruments, making loud noises and disturbing the peace. “They’re rocking and rolling all over the place,” one of your servants complains. “What should we do with them?” You approach your ward and say...;;;;;;;;;;;;;x
EVTOPTAchildhood.6;“I don’t mind it much, just do it elsewhere as to not bother others.”;;;;;;;;;;;;;x
EVTOPTBchildhood.6;“This demonic rocking and rolling or whatever will lead you astray!”;;;;;;;;;;;;;x
EVTDESCchildhood.7;I was just having fun, smashing away at the court musicians’ instruments with my friends, when my guardian has told me, “I don’t mind it much, just do it elsewhere as to not bother others.”;;;;;;;;;;;;;x
EVTOPTAchildhood.7;Hey guys, I know a good place in the castle basement...;;;;;;;;;;;;;x
EVTDESCchildhood.8;I was just having fun, smashing away at the court musicians’ instruments with my friends, when my guardian has told me, “This demonic rocking and rolling or whatever will lead you astray!” before subsequently using the strap on me.;;;;;;;;;;;;;x
EVTOPTAchildhood.8;I better not try that again...;;;;;;;;;;;;;x
EVTOPTBchildhood.8;I’ll just do it in secret!;;;;;;;;;;;;;x
EVTDESCchildhood.9;A strange noise! What... what is it? “Oh, what is it widdle [Root.GetFirstName]?” my nanny says. “What ish that? It’s a dog. You wuv dogs, don’t you? Dogsh saw bow-wow...”;;;;;;;;;;;;;x
EVTOPTAchildhood.9;Bow-wow...;;;;;;;;;;;;;x
EVTOPTBchildhood.9;Stop talking like that!;;;;;;;;;;;;;x
EVTOPTCchildhood.9;Please, I already know what a dog is...;;;;;;;;;;;;;x
EVTDESCchildhood.10;“No, no, no,” my nanny tells me. “That’s not how you pray to [Root.Religion.GetRandomGodName]. Let’s try again, alright? Repeat after me...”;;;;;;;;;;;;;x
EVTOPTAchildhood.10;Not these silly words again...;;;;;;;;;;;;;x
EVTOPTBchildhood.10;Tell me again!;;;;;;;;;;;;;x
EVTDESCchildhood.11;You don’t like to talk much, even with your acquaintance. You just know the two of you, despite your mutual insecurity, seem to be able to communicate well without much talking. There’s no doubt both of you are very much attracted to each other. But you are young and bashful, afraid of rejection.;;;;;;;;;;;;;x
EVTOPTAchildhood.11;I have to show some courage and confess my love!;;;;;;;;;;;;;x
EVTOPTBchildhood.11;I’m too shy. I can’t spit it out!;;;;;;;;;;;;;x
EVTDESCchildhood.20;Today an important foreign dignitary visited the court. Though it wasn’t easy, I managed to impress this dignitary with my ability in conversation. My guardian has taught me quite a lot about talking with others!;;;;;;;;;;;;;x
EVTOPTAchildhood.20;I was pretty nervous though.;;;;;;;;;;;;;x
EVTDESCchildhood.21;Today an important foreign dignitary visited the court. How impressed I was when my ward managed to engage in a sophisticated discussion with this dignitary. My ward has learned quite a bit about the art of conversation from me.;;;;;;;;;;;;;x
EVTOPTAchildhood.21;I am very proud.;;;;;;;;;;;;;x
EVTDESCchildhood.22;Recently, my guardian takes me with [Root.Guardian.GetHerHim] whenever we travel around the country. I hear boring lectures about what people trade, the crops the peasants grow, what happens inside cities and ports…;;;;;;;;;;;;;x
EVTOPTAchildhood.22;My guardian says this will be important to me later on.;;;;;;;;;;;;;x
EVTDESCchildhood.23;Recently, I’ve taken my ward with me when I traveled around the country, visiting different villages, castles, and cities. I constantly explain to my ward how people trade, what sort of crops we grow on the land, and so on.;;;;;;;;;;;;;x
EVTOPTAchildhood.23;It’s important my ward learns these things.;;;;;;;;;;;;;x
EVTDESCchildhood.24;Adults can be so cruel and petty, always scheming against each other for one reason or another! That’s why my guardian takes time to explain to me what exactly they’re up to, so I won’t grow up to be naive.;;;;;;;;;;;;;x
