#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCambition.1;A merchant appears before you offering you a cure for all ailments including infertility. He offers you this panacea for a paltry compensation.;;;;;;;;;;;;;x
EVTOPTAambition.1;Very well.;;;;;;;;;;;;;x
EVTTOOLTIPambition.2;Buy the potion;;;;;;;;;;;;;x
EVTOPTBambition.1;Guards, throw him out!;;;;;;;;;;;;;x
EVTDESCambition.2;Now owning the potion you drank it, although the fact that merchant have already left your court without so much as word do your suspicion.;;;;;;;;;;;;;x
EVTOPTAambition.2;Maybe the potion will work.;;;;;;;;;;;;;x
wait_for_effects_of_potion;Wait for effects of the potion/n;;;;;;;;;;;;;x
EVTDESCambition.3;After waiting patienlty for potion to take effect you suddenlty felt... you don't know how to descibe it.;;;;;;;;;;;;;x
EVTOPTAambition.3;It actually worked.;;;;;;;;;;;;;x
EVTDESCambition.4;After waiting patienlty for potion to take effect nothing happened.;;;;;;;;;;;;;x
EVTOPTAambition.4;I have been cheated.;;;;;;;;;;;;;x
EVTDESCambition.10;You have gotten your hands on a book that contains instructions for a ritual supposed to cure infertility. The book is quite old and bound in black leather, the title reads "Ponape Scripture";;;;;;;;;;;;;x
EVTOPTAambition.10;For the ritual I need....;;;;;;;;;;;;;x
prepare_ritual;Prepare the ritual/n;;;;;;;;;;;;;x
EVTOPTBambition.10;Somehow this book doesn't feel right.;;;;;;;;;;;;;x
EVTDESCambition.11;The ritual fills you with energy - you feel alive and vibrant, you have no doubt that you are no longer plagued by infetility.;;;;;;;;;;;;;x
EVTOPTAambition.11;Great.;;;;;;;;;;;;;x
EVTDESCambition.12;The ritual fills you with energy - you can't describe it, it seeps into your mind clouding your judgment...;;;;;;;;;;;;;x
EVTOPTAambition.12;Potatoes!;;;;;;;;;;;;;x
EVTDESCambition.13;The ritual fills you with energy - you can't describe it, it seeps into your mind whispering you things.;;;;;;;;;;;;;x
EVTOPTAambition.13;...;;;;;;;;;;;;;x
EVTDESCambition.20;A rumor has reached your ears about an alchemist who have created a potion that could cure infertility.;;;;;;;;;;;;;x
EVTOPTAambition.20;I must find the man.;;;;;;;;;;;;;x
EVTTOOLTIPambition.21;Search for the alchemist;;;;;;;;;;;;;x
EVTOPTBambition.20;Who can trust the rumors.;;;;;;;;;;;;;x
EVTDESCambition.21; After searching for the alchemist far and wide you have finally found him. The alchemist explained that although the is finished potion it is untested, he did pay a wicher some while ago to test the potion and report back to him when he will be in areabut he hasn't heard of witcher ever since...;;;;;;;;;;;;;x
EVTOPTAambition.21;I will drink the potion.;;;;;;;;;;;;;x
drink_potion; Drink the potion/n;;;;;;;;;;;;;x
EVTOPTBambition.21;If a witcher couldn't stomach I doubt I will.;;;;;;;;;;;;;x
dont_drink_potion; Don't drink the potion/n;;;;;;;;;;;;;x
EVTDESCambition.22;Some time have passed since you drank the potion, although you can't feel any changes you get the feeling the potion actually did work.;;;;;;;;;;;;;x
EVTOPTAambition.22;Great.;;;;;;;;;;;;;x
EVTDESCambition.23;After drinking the potion you start feeling sick. Seems like the potion didn't work.;;;;;;;;;;;;;x
EVTOPTAambition.23;Ugh...;;;;;;;;;;;;;x
EVTDESCambition.30;Searching for ways to heal infertility have lead you to a safe albeit expensive procedure.;;;;;;;;;;;;;x
EVTOPTAambition.30;No amount is too much.;;;;;;;;;;;;;x
EVTTOOLTIPambition.31;Take the procedure;;;;;;;;;;;;;x
EVTOPTBambition.30; It's too expensive.;;;;;;;;;;;;;x
EVTDESCambition.31;You don't remeber much of the treatment you went through, but you are confident it works.;;;;;;;;;;;;;x
EVTOPTAambition.31;Great.;;;;;;;;;;;;;x
EVTDESCambition.40;There are rumors that Mecopteran bones can cure impotence, you just need to get the hand bones from the creature, crush them and make soup from powered and you are cured, well acording to rumor.;;;;;;;;;;;;;x
EVTOPTAambition.40;I should buy the bones, maybe they'll really work.;;;;;;;;;;;;x
EVTOPTBambition.40;I will hunt for one myself.;;;;;;;;;;;;x
EVTOPTCambition.40;Actually I have never  heard of this cure working before.;;;;;;;;;;;;x
EVTDESCambition.41;It took some time but you have gotten your hands on Mecopteran hands, I'm sure the beastie won't miss them too much.;;;;;;;;;;;;x
EVTOPTAambition.41;Now to make the soup.;;;;;;;;;;;;x
use_bones;Prepare the bones/n;;;;;;;;;;;;x
EVTDESCambition.42;Who knew, the soup made from Mecopteran hand bones actually worked.;;;;;;;;;;;;x
EVTOPTAambition.42;There is some trueth in rumors.;;;;;;;;;;;;x
EVTDESCambition.43;It seems like the soup made from Mecopteran hand bones really can't cure infertility.;;;;;;;;;;;;x
EVTOPTAambition.43;Well it was just a rumor.;;;;;;;;;;;;x
