PROV1;Northern Wastelands;;;;;;;;x
PROV2;Southern Wastelands;;;;;;;;x
PROV3;Korath;;;;;;;;x
PROV4;Northwestern Wastelands;;;;;;;;x
PROV5;Wyzima;;;;;;;;x
PROV6;Vattweir;;;;;;;;x
PROV7;Carreras;;;;;;;;x
PROV384;Tor Corsydd;;;;;;;;x
PROV8;Ellander;;;;;;;;x
PROV9;Moen;;;;;;;;x
PROV10;Dorndal;;;;;;;;x
PROV11;White Bridge;;;;;;;;x
PROV12;Flotsam;;;;;;;;x
PROV13;La Valette;;;;;;;;x
PROV14;Nessvelt;;;;;;;;x
PROV15;Houtborg;;;;;;;;x
PROV16;Thanedd;;;;;;;;x
PROV17;Maribor;;;;;;;;x
PROV18;Cleves;;;;;;;;x
PROV19;Razwan;;;;;;;;x
PROV391;Tor Siriol;;;;;;;;x
PROV20;Dorian;;;;;;;;x
PROV383;Kilmes;;;;;;;;x
PROV21;Anchor;;;;;;;;x
PROV22;Mayena;;;;;;;;x
PROV23;Garramone;;;;;;;;x
PROV24;Burdorff;;;;;;;;x
PROV25;Gors Velen;;;;;;;;x
PROV26;Acorn Bay;;;;;;;;x
PROV27;Caelf;;;;;;;;x
PROV32;Armeria;;;;;;;;x
PROV33;Vidort;;;;;;;;x
PROV34;Carcano;;;;;;;;x
PROV35;Groundcherry Woods;;;;;;;;x
PROV36;Riedbrune;;;;;;;;x
PROV37;Dire Mire;;;;;;;;x
PROV38;Audevert;;;;;;;;x
PROV41;Kagen;;;;;;;;x
PROV39;Aymo;;;;;;;;x
PROV40;Breza;;;;;;;;x
PROV42;Tretogor;;;;;;;;x
PROV43;Knotweed Meadow;;;;;;;;x
PROV44;Oxenfurt;;;;;;;;x
PROV56;Rinde;;;;;;;;x
PROV45;Gelibol;;;;;;;;x
PROV46;Mirt;;;;;;;;x
PROV47;Lettenhove;;;;;;;;x
PROV48;Blaviken;;;;;;;;x
PROV49;Kynia;;;;;;;;x
PROV50;Yspaden;;;;;;;;x
PROV51;Luton;;;;;;;;x
PROV385;Tor Irion;;;;;;;;x
PROV52;Murivel;;;;;;;;x
PROV53;Egremont;;;;;;;;x
PROV54;Piana;;;;;;;;x
PROV55;Drakenborg;;;;;;;;x
PROV57;Rybnik;;;;;;;;x
PROV58;Vartburg;;;;;;;;x
PROV60;Montecalvo;;;;;;;;x
PROV61;Crinfrid;;;;;;;;x
PROV59;Sevnica;;;;;;;;x
PROV62;Nimnar Valley;;;;;;;;x
PROV63;Lysorog;;;;;;;;x
PROV65;Denesle;;;;;;;;x
PROV66;Troy;;;;;;;;x
PROV67;Barienmurg;;;;;;;;x
PROV64;Novigrad;;;;;;;;x
PROV68;Pont Vanis;;;;;;;;x
PROV69;Lan Exeter;;;;;;;;x
PROV70;Bae Praxeda;;;;;;;;x
PROV388;Tor Tango;;;;;;;;x
PROV71;Skordh;;;;;;;;x
PROV72;Inis Porhoet;;;;;;;;x
PROV73;Tiria;;;;;;;;x
PROV74;Rakverelin;;;;;;;;x
PROV75;Aedd Gynvael;;;;;;;;x
PROV387;Tor Istredd;;;;;;;;x
PROV77;Talgar;;;;;;;;x
PROV76;Velhad;;;;;;;;x
PROV78;Hengfors;;;;;;;;x
PROV79;Holopole;;;;;;;;x
PROV80;Barga;;;;;;;;x
PROV81;Creyden;;;;;;;;x
PROV82;Tancarville;;;;;;;;x
PROV83;Derwayn;;;;;;;;x
PROV389;Tor Maen;;;;;;;;x
PROV84;Malleore;;;;;;;;x
PROV85;Creigiau;;;;;;;;x
PROV86;Leipollank;;;;;;;;x
PROV87;Ard Carraigh;;;;;;;;x
PROV88;Ustilog;;;;;;;;x
PROV89;Balagan;;;;;;;;x
PROV90;Dun Gleanainn;;;;;;;;x
PROV386;Tor Cigfrain;;;;;;;;x
PROV91;Ban Ard;;;;;;;;x
PROV92;Strunino;;;;;;;;x
PROV93;Ard Kestrel;;;;;;;;x
PROV94;Kirensk;;;;;;;;x
PROV95;Ban Glean;;;;;;;;x
PROV96;Artiom;;;;;;;;x
PROV97;Taganrog;;;;;;;;x
PROV98;Maum;;;;;;;;x
PROV99;Buki;;;;;;;;x
PROV100;Nadym;;;;;;;;x
PROV101;Arkaim;;;;;;;;x
PROV102;Daevon;;;;;;;;x
PROV103;Klin;;;;;;;;x
PROV104;Suzdal;;;;;;;;x
PROV105;Smalengs;;;;;;;;x
PROV106;Kaer Morhen;;;;;;;;x
PROV107;Kolooma;;;;;;;;x
PROV108;Leyda;;;;;;;;x
PROV109;Jurga;;;;;;;;x
PROV110;Mangup;;;;;;;;x
PROV111;Ard Ghlais;;;;;;;;x
PROV112;Vspaden;;;;;;;;x
PROV113;Beloozero;;;;;;;;x
PROV114;Kopys;;;;;;;;x
PROV115;Arvamas;;;;;;;;x
PROV116;Vengerberg;;;;;;;;x
PROV117;Hagge;;;;;;;;x
PROV118;Asheberg;;;;;;;;x
PROV119;Trelis;;;;;;;;x
PROV390;Tý Yennefer;;;;;;;;x
PROV120;Aldersberg;;;;;;;;x
PROV121;Eang Faes;;;;;;;;x
PROV122;Aspach;;;;;;;;x
PROV123;Guleta;;;;;;;;x
PROV124;Eysenlaan;;;;;;;;x
PROV125;Guisberg;;;;;;;;x
PROV126;Vergen;;;;;;;;x
PROV127;Kalkar;;;;;;;;x
PROV128;Tiel;;;;;;;;x
PROV129;Berg Aen Dal;;;;;;;;x
PROV130;Rombas;;;;;;;;x
PROV131;Casnewydd;;;;;;;;x
PROV132;Posada;;;;;;;;x
PROV133;Gorseinon;;;;;;;;x
PROV134;Banwen;;;;;;;;x
PROV135;Loc Muinne;;;;;;;;x
PROV378;Dryslwyn;;;;;;;;x
PROV379;Trefddyn;;;;;;;;x
PROV136;Lyria;;;;;;;;x
PROV137;Rastburg;;;;;;;;x
PROV138;Spalla;;;;;;;;x
PROV139;Rivia;;;;;;;;x
PROV140;Scala;;;;;;;;x
PROV141;Dilla;;;;;;;;x
PROV142;Atostra;;;;;;;;x
PROV333;Glevitzingen;;;;;;;;x
PROV334;Follwark;;;;;;;;x
PROV381;Malpaga;;;;;;;;x
PROV338;Hynllau;;;;;;;;x
PROV339;Caed Dhu;;;;;;;;x
PROV143;Ard Skellig;;;;;;;;x
PROV144;Spikeroog;;;;;;;;x
PROV145;Faroe;;;;;;;;x
PROV146;An Skellig;;;;;;;;x
PROV147;Hindarsfjall;;;;;;;;x
PROV148;Undvik;;;;;;;;x
PROV160;Cidaris;;;;;;;;x
PROV382;Ebeltoft;;;;;;;;x
PROV163;Roggeveen;;;;;;;;x
PROV161;Bremervoord;;;;;;;;x
PROV162;Four Maples;;;;;;;;x
PROV164;Vole;;;;;;;;x
PROV392;Tor Melyn;;;;;;;;x
PROV149;Nastrog;;;;;;;;x
PROV150;Schwemmland;;;;;;;;x
PROV151;Bodrog;;;;;;;;x
PROV152;Hamm;;;;;;;;x
PROV153;Grimstad;;;;;;;;x
PROV154;Duen Canell;;;;;;;;x
PROV155;Wypalanki;;;;;;;;x
PROV156;Craag An;;;;;;;;x
PROV157;Col Serrai;;;;;;;;x
PROV158;Kerack;;;;;;;;x
PROV159;Barrin;;;;;;;;x
PROV28;Brugge;;;;;;;;x
PROV29;Dillingen;;;;;;;;x
PROV30;Turlough Hills;;;;;;;;x
PROV31;Drieschot;;;;;;;;x
PROV165;Nilfgaard;;;;;;;;x
PROV166;Tarnhann;;;;;;;;x
PROV167;Arvy;;;;;;;;x
PROV168;Emreis;;;;;;;;x
PROV169;Broinne;;;;;;;;x
PROV380;Port Baccala;;;;;;;;x
PROV170;Ymlac;;;;;;;;x
PROV171;Winneburg;;;;;;;;x
PROV172;Wyngalt;;;;;;;;x
PROV173;Lo;;;;;;;;x
PROV174;Oesterlen;;;;;;;;x
PROV175;Loc Grim;;;;;;;;x
PROV176;Canten;;;;;;;;x
PROV177;Casteberg;;;;;;;;x
PROV178;Eiddon;;;;;;;;x
PROV179;Congreve;;;;;;;;x
PROV180;Dermott;;;;;;;;x
PROV181;Darn Rowan;;;;;;;;x
PROV182;Tir Chonnaill;;;;;;;;x
PROV183;Montholon;;;;;;;;x
PROV184;Morteisen;;;;;;;;x
PROV185;Corvaen;;;;;;;;x
PROV186;Dolpadarn;;;;;;;;x
PROV187;Morfa Bychan;;;;;;;;x
PROV188;Aberystwyth;;;;;;;;x
PROV189;Darn Dyffra;;;;;;;;x
PROV190;Cerveteri;;;;;;;;x
PROV191;Maesteg;;;;;;;;x
PROV192;Dyserth;;;;;;;;x
PROV193;Llanwern;;;;;;;;x
PROV194;Bronllys;;;;;;;;x
PROV195;Pochlebnik;;;;;;;;x
PROV196;Dievetnik;;;;;;;;x
PROV197;Tajnicka;;;;;;;;x
PROV198;Povahati;;;;;;;;x
PROV199;Biehudlna;;;;;;;;x
PROV200;Sufragan;;;;;;;;x
PROV201;Oplyvanje;;;;;;;;x
PROV202;Namestek;;;;;;;;x
PROV203;Djevonis;;;;;;;;x
PROV204;Tahnujuci;;;;;;;;x
PROV205;Vyhrazditi;;;;;;;;x
PROV206;Rozvlaha;;;;;;;;x
PROV207;Zlodjejcje;;;;;;;;x
PROV208;Rozbohateti;;;;;;;;x
PROV209;Tehar;;;;;;;;x
PROV210;Lemiez;;;;;;;;x
PROV211;Boljeti;;;;;;;;x
PROV212;Sticje;;;;;;;;x
PROV213;Tecen;;;;;;;;x
PROV214;Vzdievati;;;;;;;;x
PROV215;Uhrnkem;;;;;;;;x
PROV216;Edincus;;;;;;;;x
PROV217;Omacus;;;;;;;;x
PROV218;Noviomagus;;;;;;;;x
PROV219;Siscaea;;;;;;;;x
PROV220;Rigomagus;;;;;;;;x
PROV221;Oenipontum;;;;;;;;x
PROV222;Liniacum;;;;;;;;x
PROV223;Liburnum;;;;;;;;x
PROV224;Batavis;;;;;;;;x
PROV225;Caprae;;;;;;;;x
PROV226;Albiga;;;;;;;;x
PROV227;Ammurianum;;;;;;;;x
PROV228;Maecht;;;;;;;;x
PROV229;Radboud;;;;;;;;x
PROV230;Dudno;;;;;;;;x
PROV231;Rocayne;;;;;;;;x
PROV232;Medemblik;;;;;;;;x
PROV233;Snits;;;;;;;;x
PROV234;Ychten;;;;;;;;x
PROV235;Thurn;;;;;;;;x
PROV236;Drachten;;;;;;;;x
PROV237;Mildaam;;;;;;;;x
PROV238;Epema;;;;;;;;x
PROV239;Grootegast;;;;;;;;x
PROV240;Dokkum;;;;;;;;x
PROV241;Jutryp;;;;;;;;x
PROV242;Hoytema;;;;;;;;x
PROV243;Belvárd;;;;;;;;x
PROV244;Tihany;;;;;;;;x
PROV245;Malhoun;;;;;;;;x
PROV246;Tengelic;;;;;;;;x
