#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_aedirn;Aedirn;Aedirn;Aedirn;;;;;;;;;;;x
k_aedirn_adj;Aedirnian;;aedirnisch;;;;;;;;;;;x
k_ard_glas;Ard Glas;Ard Glas;Ard Glas;;;;;;;;;;;x
k_ard_glas_adj;Ard Glasan;;ard glasisch;;;;;;;;;;;x
k_brokilon;Brokilon;Brokilon;Brokilon;;;;;;;;;;;x
k_brokilon_adj;Brokilonan;;brokilonisch;;;;;;;;;;;x
k_brugge;Brugge;Brugge;Brugge;;;;;;;;;;;x
k_brugge_adj;Bruggian;;bruggisch;;;;;;;;;;;x
k_cintra;Cintra;Cintra;Cintra;;;;;;;;;;;x
k_cintra_adj;Cintran;;cintrisch;;;;;;;;;;;x
k_dol_blathanna;Dol Blathanna;Dol Blathanna;Dol Blathanna;;;;;;;;;;;x
k_dol_blathanna_adj;Dol Blathannian;;dol blathannisch;;;;;;;;;;;x
k_ebbing;Ebbing;Ebbing;Ebbing;;;;;;;;;;;x
k_ebbing_adj;Ebbing;;ebbingisch;;;;;;;;;;;x
k_emblonia;Emblonia;Emblonia;Emblonia;;;;;;;;;;;x
k_emblonia_adj;Emblonian;;emblonisch;;;;;;;;;;;x
k_eternal_fire;Eternal Fire;Eternal Fire;Eternal Fire;;;;;;;;;;;x
k_eternal_fire_adj;Hierarchal;;eternal firisch;;;;;;;;;;;x
k_etolia;Etolia;Etolia;Etolia;;;;;;;;;;;x
k_etolia_adj;Etolian;;etolisch;;;;;;;;;;;x
k_gemmera;Gemmera;Gemmera;Gemmera;;;;;;;;;;;x
k_gemmera_adj;Gemmeran;;gemmerisch;;;;;;;;;;;x
k_geso;Geso;Geso;Geso;;;;;;;;;;;x
k_geso_adj;Gesoan;;gesisch;;;;;;;;;;;x
k_hengfors_league;Hengfors League;Hengfors League;Hengfors League;;;;;;;;;;;x
k_hengfors_league_adj;Hengfors Leagian;;hengfors leagisch;;;;;;;;;;;x
k_jamurlak;Jamurlak;Jamurlak;Jamurlak;;;;;;;;;;;x
k_jamurlak_adj;Jamurlakian;;jamurlakisch;;;;;;;;;;;x
k_kaedwen;Kaedwen;Kaedwen;Kaedwen;;;;;;;;;;;x
k_kaedwen_adj;Kaedweni;;kaedwenisch;;;;;;;;;;;x
k_kovir_poviss;Kovir & Poviss;Kovir & Poviss;Kovir & Poviss;;;;;;;;;;;x
k_kovir_poviss_adj;Koviri;;kovirisch;;;;;;;;;;;x
k_lyria_rivia;Lyria & Rivia;Lyria & Rivia;Lyria & Rivia;;;;;;;;;;;x
k_lyria_rivia_adj;Lyrian;;lyria & rivisch;;;;;;;;;;;x
k_maecht;Maecht;Maecht;Maecht;;;;;;;;;;;x
k_maecht_adj;Maechtian;;maechtisch;;;;;;;;;;;x
k_mag_turga;Mag Turga;Mag Turga;Mag Turga;;;;;;;;;;;x
k_mag_turga_adj;Mag Turgan;;mag turgisch;;;;;;;;;;;x
k_mahakam;Mahakam;Mahakam;Mahakam;;;;;;;;;;;x
k_mahakam_adj;Mahakaman;;mahakamisch;;;;;;;;;;;x
k_metinna;Metinna;Metinna;Metinna;;;;;;;;;;;x
k_metinna_adj;Metinnan;;metinnisch;;;;;;;;;;;x
k_nazair;Nazair;Nazair;Nazair;;;;;;;;;;;x
k_nazair_adj;Nazairian;;nazairisch;;;;;;;;;;;x
k_nilfgaard;Nilfgaard;Nilfgaard;Nilfgaard;;;;;;;;;;;x
k_nilfgaard_adj;Nilfgaardian;;nilfgaardisch;;;;;;;;;;;x
k_novigrad;Novigrad;Novigrad;Novigrad;;;;;;;;;;;x
k_novigrad_adj;Novigradian;;novigradisch;;;;;;;;;;;x
k_pontar;Pontar;Pontar;Pontar;;;;;;;;;;;x
k_pontar_adj;Pontarian;;pontarisch;;;;;;;;;;;x
k_redania;Redania;Redania;Redania;;;;;;;;;;;x
k_redania_adj;Redanian;;redanisch;;;;;;;;;;;x
k_skellig;Skellig;Skellig;Skellig;;;;;;;;;;;x
k_skellig_adj;Skellig;;skelligisch;;;;;;;;;;;x
k_smocze_coast;Smocze Coast;Smocze Coast;Smocze Coast;;;;;;;;;;;x
k_smocze_coast_adj;Smocze Coast;;smocze coast;;;;;;;;;;;x
k_sodden;Sodden;Sodden;Sodden;;;;;;;;;;;x
k_sodden_adj;Soddenian;;soddenisch;;;;;;;;;;;x
k_temeria;Temeria;Temeria;Temeria;;;;;;;;;;;x
k_temeria_adj;Temerian;;temerisch;;;;;;;;;;;x
k_tir_tochair;Tir Tochair;Tir Tochair;Tir Tochair;;;;;;;;;;;x
k_tir_tochair_adj;Tir Tochairan;;tir tochairisch;;;;;;;;;;;x
k_toussaint;Toussaint;Toussaint;Toussaint;;;;;;;;;;;x
k_toussaint_adj;Toussaintiane;;toussaintisch;;;;;;;;;;;x
k_vicovaro;Vicovaro;Vicovaro;Vicovaro;;;;;;;;;;;x
k_vicovaro_adj;Vicovarian;;vicovarisch;;;;;;;;;;;x
